Unnamed: 0,absence of mental illness,absence of physical illness,cognitive health,emotional health,physical activity health,sensory health,sleep health,subclinical health,Years since publication,contribution index
doc201,0,0,0,0,0,1,0,0,3,0.122438178
doc11619,0,0,0,0,0,0,1,0,4,0.122471137
doc5135,0,0,0,0,1,0,0,0,9,0.122542467
doc4426,0,0.667020346,0,0,0,0,0,0.332979654,15,0.122596264
doc5159,0,0,1,0,0,0,0,0,10,0.122814
doc10770,0,1,0,0,0,0,0,0,15,0.122926404
doc7951,0,0,0,0,0,0.08874932,0.91125068,0,10,0.123472136
doc5563,0,1,0,0,0,0,0,0,5,0.123623678
doc775,0,1,0,0,0,0,0,0,17,0.123740515
doc7785,0,0.193745308,0,0,0.806254692,0,0,0,15,0.123764751
doc11808,0,1,0,0,0,0,0,0,12,0.123878391
doc5234,0,0.052099544,0,0,0,0.947900456,0,0,12,0.124194779
doc3712,0,1,0,0,0,0,0,0,6,0.124329676
doc11531,0,1,0,0,0,0,0,0,9,0.124384289
doc13042,0,1,0,0,0,0,0,0,11,0.124410001
doc5861,0,0.338157814,0,0,0,0,0,0.661842186,10,0.124456772
doc10735,0,1,0,0,0,0,0,0,10,0.124702387
doc3764,0,0.155804485,0.778423337,0,0.065772178,0,0,0,7,0.124981792
doc8989,0,1,0,0,0,0,0,0,12,0.125267233
doc8070,0,1,0,0,0,0,0,0,8,0.125928442
doc8639,0,1,0,0,0,0,0,0,2,0.126024265
doc714,0,0,0,0.717729957,0.282270043,0,0,0,8,0.126055367
doc7470,0,1,0,0,0,0,0,0,5,0.126177414
doc3271,0,0.247807806,0,0,0.752192194,0,0,0,10,0.12626917
doc11987,0,1,0,0,0,0,0,0,5,0.126527024
doc12860,0,1,0,0,0,0,0,0,2,0.126568025
doc2548,0,1,0,0,0,0,0,0,7,0.126680906
doc742,0,0,0,0,1,0,0,0,2,0.126775631
doc9055,0,0,0,0,0,0,1,0,15,0.127018785
doc2869,0,1,0,0,0,0,0,0,2,0.127221278
doc10684,0,1,0,0,0,0,0,0,2,0.12728829
doc9527,0,1,0,0,0,0,0,0,2,0.12728829
doc7296,0,0,1,0,0,0,0,0,3,0.127493523
doc11424,0,0.33980898,0,0,0.66019102,0,0,0,22,0.127571338
doc2789,0,0,1,0,0,0,0,0,20,0.127645689
doc417,0,0,0,0,1,0,0,0,14,0.127844815
doc9164,0,1,0,0,0,0,0,0,7,0.127886489
doc8934,0,1,0,0,0,0,0,0,15,0.127975099
doc10404,0,0,0,0,0,1,0,0,10,0.128021903
doc5042,0,1,0,0,0,0,0,0,9,0.12830233
doc3752,0,0,0.504234522,0,0.495765478,0,0,0,4,0.128800095
doc7196,0,1,0,0,0,0,0,0,10,0.129211607
doc7114,0,1,0,0,0,0,0,0,5,0.129379945
doc12919,0,0,0,0,0,1,0,0,21,0.129810025
doc7901,0,0,0.504234522,0,0.495765478,0,0,0,16,0.129999697
doc4883,0,0,0,0,0.032414912,0.967585088,0,0,10,0.130441858
doc13031,0,0,1,0,0,0,0,0,6,0.130805507
doc860,0,1,0,0,0,0,0,0,3,0.130887642
doc8924,0,0,0,0,0,0,0,1,15,0.13117202
doc8482,0,0,0,1,0,0,0,0,32,0.131294847
doc3213,0,0.229255803,0,0,0,0.770744197,0,0,30,0.1313127
doc2613,0,1,0,0,0,0,0,0,6,0.131496925
doc6933,0,0,0,0,0,1,0,0,2,0.131791989
doc10711,0,0.100722312,0,0,0.61874137,0,0.280536318,0,5,0.131966109
doc11364,0,0,0,0,1,0,0,0,18,0.131987288
doc4287,0,1,0,0,0,0,0,0,3,0.132363254
doc7533,0,0,0,0,0,1,0,0,20,0.132380141
doc6623,0,0.488087732,0,0,0.511912268,0,0,0,10,0.132453871
doc12207,0,0,0,0,0,0,1,0,23,0.132549895
doc7345,0,0,0.504234522,0,0.495765478,0,0,0,2,0.132597622
doc2514,0,0.199327746,0,0,0,0.800672254,0,0,3,0.132663085
doc2859,0,0.096407103,0,0,0,0.903592897,0,0,4,0.13283528
doc5358,0,0.337061793,0,0,0,0.662938207,0,0,14,0.132944354
doc1102,0,1,0,0,0,0,0,0,33,0.133205767
doc11657,0,1,0,0,0,0,0,0,5,0.133417346
doc8332,0,0,1,0,0,0,0,0,18,0.133602145
doc7584,0,0,0.518500682,0,0.031862003,0,0.449637315,0,19,0.133662278
doc1461,0,1,0,0,0,0,0,0,11,0.133816627
doc11615,0,0,0,0,1,0,0,0,6,0.133826509
doc1033,0,0,1,0,0,0,0,0,13,0.134457051
