Unnamed: 0,absence of mental illness,absence of physical illness,cognitive health,emotional health,physical activity health,sensory health,sleep health,subclinical health,Years since publication,contribution index
doc12919,0,0,0,0,0,0.385658915,0,0,21,0.129810025
doc7901,0,0,0.128777923,0,0.126614989,0,0,0,16,0.129999697
doc4883,0,0,0,0,0.012919897,0.385658915,0,0,10,0.130441858
doc13031,0,0,0.030223389,0,0,0,0,0,6,0.130805507
doc860,0,0.612219455,0,0,0,0,0,0,3,0.130887642
doc8924,0,0,0,0,0,0,0,0.034165571,15,0.13117202
doc8482,0,0,0,0.072273324,0,0,0,0,32,0.131294847
doc3213,0,0.114713214,0,0,0,0.385658915,0,0,30,0.1313127
doc2613,0,0.650872822,0,0,0,0,0,0,6,0.131496925
doc6933,0,0,0,0,0,0.037790698,0,0,2,0.131791989
doc10711,0,0.052369077,0,0,0.321705426,0,0.14586071,0,5,0.131966109
doc11364,0,0,0,0,0.321705426,0,0,0,18,0.131987288
doc4287,0,0.033665837,0,0,0,0,0,0,3,0.132363254
doc7533,0,0,0,0,0,0.385658915,0,0,20,0.132380141
doc6623,0,0.306733168,0,0,0.321705426,0,0,0,10,0.132453871
doc12207,0,0,0,0,0,0,0.007884363,0,23,0.132549895
doc7345,0,0,0.128777923,0,0.126614989,0,0,0,2,0.132597622
doc2514,0,0.096009974,0,0,0,0.385658915,0,0,3,0.132663085
doc2859,0,0.041147135,0,0,0,0.385658915,0,0,4,0.13283528
doc5358,0,0.100997504,0,0,0,0.198643411,0,0,14,0.132944354
doc1102,0,0.238154613,0,0,0,0,0,0,33,0.133205767
doc11657,0,0.110972565,0,0,0,0,0,0,5,0.133417346
doc8332,0,0,0.168199736,0,0,0,0,0,18,0.133602145
doc7584,0,0,0.168199736,0,0.010335918,0,0.14586071,0,19,0.133662278
doc1461,0,0.022443889,0,0,0,0,0,0,11,0.133816627
doc11615,0,0,0,0,0.019379846,0,0,0,6,0.133826509
doc1033,0,0,0.08541393,0,0,0,0,0,13,0.134457051
doc9309,0,0.109725684,0,0,0,0,0,0,11,0.134684812
doc5270,0,0.009975061,0,0,0,0,0,0,6,0.134809078
doc11970,0,0.021197008,0,0,0,0,0,0.011826544,3,0.134826489
doc7152,0,0,0,0,0,0.385658915,0,0,17,0.134901098
doc10761,0,0,0,0,0,0.042635658,0,0,15,0.135081154
doc7799,0,0.125935162,0,0,0,0.042635658,0,0,25,0.135155391
doc7246,0,0.099750623,0,0,0,0,0,0,5,0.135188565
doc13174,0,0.059850375,0,0,0,0,0,0,12,0.135239596
doc6828,0,0.279301748,0,0,0,0,0,0,13,0.135346608
doc9621,0,0.042394016,0,0,0,0,0,0,16,0.135571735
doc3857,0,0.11471322,0.08541393,0,0,0,0,0,30,0.135859955
doc2459,0,0.135910228,0.028909332,0,0,0,0,0,4,0.135968553
doc5644,0,0,0,0,0.015503876,0,0,0,19,0.135995952
doc5526,0,0,0,0,0.321705426,0,0,0,3,0.136181851
doc9584,0,0.238154613,0,0,0,0,0,0,2,0.136181851
doc3489,0,0.022443889,0,0,0,0.198643411,0,0,22,0.136204662
doc8416,0,0.039900248,0,0,0.321705426,0,0,0,5,0.13662309
doc7737,0,0.009975061,0,0,0,0,0,0,4,0.13662733
doc1392,0,0.008728179,0,0,0,0,0,0,6,0.136808055
doc8975,0,0.612219455,0,0,0,0,0,0,10,0.136808055
doc3684,0,0.11471322,0,0,0,0.385658915,0,0,15,0.136846491
doc10831,0,0,0,0,0,0,0,0.010512484,17,0.13741226
doc2778,0,0,0,0,0,0.385658915,0,0,33,0.137438728
doc3030,0,0.108478803,0,0,0,0,0,0,9,0.137449465
doc7448,0,0,0,0,0.373385014,0,0,0.032851511,10,0.137653268
doc5114,0,0.046134665,0,0,0,0,0,0,2,0.137973966
doc2457,0,0.083541145,0,0,0,0,0,0,4,0.1381076
doc11036,0,0,0,0,0,0,0,0.011826544,6,0.138283667
doc10614,0,0,0,0,0.032299743,0,0,0.032851511,2,0.138569068
doc11727,0,0.238154613,0,0,0.321705426,0.385658915,0,0,8,0.139040402
doc8479,0,0,0,0.072273324,0,0,0,0,30,0.139202853
doc2266,0,0,0.128777923,0,0.126614989,0,0,0,15,0.139215498
doc10597,0,0.099750623,0,0,0,0,0,0,13,0.139222323
doc3343,0,0.031172069,0,0,0.334625323,0,0,0,5,0.139485238
doc9802,0,0.099750623,0,0,0,0,0,0,12,0.139751287
doc3278,0,0.238154613,0,0,0,0.385658915,0,0,13,0.139895777
doc8571,0,0.099750623,0,0,0,0,0,0,3,0.140012318
doc10780,0,0.612219455,0,0,0,0,0,0,11,0.140199845
doc10096,0,0.100997504,0,0,0,0,0,0,2,0.140361182
doc6162,0,0,0,0,0.010335918,0,0,0,13,0.140481757
doc12922,0,0,0,0,0,0.042635658,0,0,15,0.140836324
doc7585,0,0.021197008,0,0,0,0,0,0,5,0.140962173
doc7199,0,0.100997504,0,0,0,0,0,0,6,0.141081331
doc1278,0,0,0,0,0.011627906,0,0,0.011826544,12,0.141323827
doc6229,0,0.238154613,0,0,0,0.385658915,0,0,8,0.141460738
doc12381,0,0.053615958,0,0,0,0,0,0,34,0.142069557
doc7438,0,0.088528676,0,0,0,0,0,0,5,0.14222378
doc5422,0,0.012468829,0,0,0,0,0,0,15,0.14226683
doc7206,0,0.052369077,0,0.072273324,0,0,0,0,4,0.142408054
doc2360,0,0.612219455,0,0,0,0,0,0,22,0.142420663
doc5281,0,0,0.015768725,0,0,0,0,0,2,0.142697058
doc10490,0,0.11471322,0,0,0,0,0,0,12,0.142740194
doc7078,0,0,0,0,0.321705426,0,0,0,11,0.143236551
doc13540,0,0.083541145,0,0,0,0,0,0,21,0.143715086
doc11875,0,0,0,0,0,0.052325582,0,0,17,0.143816514
doc2665,0,0,0.168199736,0,0,0,0,0,22,0.143873743
doc6209,0,0.019950127,0,0,0,0,0,0,5,0.143903028
doc2212,0,0.089775563,0,0,0,0,0,0.094612352,12,0.144184266
doc5097,0,0.022443889,0,0,0,0,0,0,7,0.144227693
doc10539,0,0.078553615,0,0,0,0,0,0,27,0.144260117
doc1374,0,0,0,0,0.012919897,0,0,0,2,0.144489172
doc10882,0,0,0,0,0,0.009689923,0,0,15,0.144598682
doc7149,0,0.046134665,0,0,0,0,0,0,17,0.144970705
doc1061,0,0,0,0,0,0,0.03022339,0,31,0.145156808
